title,artist,album,year,genre,plays,duration
Soft Power,LVL UP,Hoodwink'd,2014,Lo-fi,777105,174
Spirit Was,LVL UP,Return to Love,2016,Lo-fi,549052,251
rangeover,Porches,Ricky Music,2020,Indie,7191816,135
Xanny Bar,Porches,Slow Dance in the Cosmos,2013,Indie,851154,191
"You Swan, Go On",Mount Eerie,Lost Wisdom,2008,Folk,3817153,92
Great Ghosts,Mount Eerie,Dawn,2008,Folk,570540,194
I Felt Your Shape,The Microphones,"The Glow, Pt. 2",2001,Folk,10849780,114
Look At Me Now,Caroline Polachek,Pang,2019,Indie Pop,7264847,183
First Love/Late Spring,Mitski,Bury Me At Makeout Creek,2014,Indie Rock,365305853,278
Last Words of a Shooting Star,Mitski,Bury Me At Makeout Creek,2014,Indie Rock,82828447,164
Hide and Seek,Imogen Heap,Speak for Yourself,2005,Electropop,139318069,248
Beast of Burden,The Rolling Stones,Some Girls,1978,Rock,421323032,265
Thinkin Bout You,Frank Ocean,channel ORANGE,2012,R&B,937747142,200
Self Control,Frank Ocean,Blonde,2016,R&B,426483505,249
Never Meant,American Football,American Football,1999,Emo,53849777,268
Rooks (Come Hell or High Water),Attica,Come Hell or High Water,2009,Southern Hardcore,1000,252
Darkness,Pinegrove,Skylight,2018,Indie Rock,7918220,273
Teenage Dirtbag,Wheatus,"Songs From Dawson's Creek, Vol. II",2000,Rock,622126922,241
By Any Means,Jorja Smith,By Any Means,2020,R&B,44411050,225
(((louds,He Is Legend,Suck Out the Poison,2006,Post-Hardcore,414880,520
Cut Your Bangs,Girlpool,Chinatown,2015,Indie Pop,14356065,172
Maid of the Mist,Diet Cig,Swear I'm Good At This,2017,Indie Pop,3039184,174
Everything Evil,Coheed and Cambria,The Second Stage Turbine Blade,2002,Progressive Rock,6419602,350
As If It's Your Last,BLACKPINK,As If It's Your Last,2017,K-Pop,584232542,213
Redbone,Childish Gambino,"""Awaken, My Love!""",2016,Psychedelic Funk,1591972548,326
I Wish I Knew Natalie Portman,K-OS,Yes!,2009,Alternative,9998871,189
Caring Is Creepy,The Shins,"Oh, Inverted World",2001,Indie Rock,65795459,200
"Flightless Bird, American Mouth",Iron & Wine,The Shepherd's Dog,2007,Folk,231897264,241
Time After Time,Iron & Wine,Time After Time,2016,Folk,140875293,170
Title Track,Death Cab for Cutie,We Have the Facts and We're Voting Yes,2000,Indie Pop,3920044,209
Come Together,The Beatles,Abbey Road,1969,Pop Rock,722594497,259
Pray You Catch Me,Beyonce,Lemonade,2016,Hip Hop,59385981,195
Money Trees,Kendrick Lamar,"Good Kid, M.A.A.D. City",2012,Hip Hop/Rap,1426193358,386
Nights,Frank Ocean,Blonde,2016,Hip Hop/Rap,697728084,307
Save Your Tears,The Weeknd,After Hours,2020,R&B,1956352561,215
Lazarus,David Bowie,Blackstar,2016,Rock,62988622,384
Say Something,Lil Yachty,Let's Start Here,2023,Hip Hop/Rap,14637858,212
Shake It Out,Florence + The Machine,Ceremonials,2011,Indie Rock,402332812,277
Nobody Else Will Be There,The National,Sleep Well Beast,2017,Indie Rock,24774271,280
