id,name,genre,stream,year,seasons,tomatometer,,,,,
1,Tokyo Vice,Crime Drama,HBO,2022,2,89,,,,,
2,The Last of Us,Thriller Drama,HBO,2023,1,96,,,,,
3,Girls,Drama,HBO,2012,6,89,,,,,
4,Succession,Black Comedy Drama,HBO,2018,4,95,,,,,
5,Silicon Valley,Comedy,HBO,2014,6,94,,,,,
6,The Sopranos,Crime Drama,HBO,1999,6,92,,,,,
7,Game of Thrones,Action Fantasy,HBO,2011,8,89,,,,,
8,High Maintenance,Comedy Drama,HBO,2016,4,98,,,,,
9,Euphoria,Teen Drama,HBO,2019,2,88,,,,,
10,How To with John Wilson,Comedy,HBO,2020,3,100,,,,,
11,Band of Brothers,War Drama,HBO,2021,1,97,,,,,
12,Insecure,Comedy Drama,HBO,2016,5,97,,,,,
13,Boardwalk Empire,Period Drama,HBO,2010,5,92,,,,,
14,Sex and the City,Drama,HBO,1998,6,70,,,,,
15,Squid Game,Survival Thriller,Netflix,2021,2,95,,,,,
16,Master of None,Comedy Drama,Netflix,2015,3,94,,,,,
17,Alone,Reality TV Survival,Netflix,2015,10,93,,,,,
18,Black Mirror,Science Fiction,Netflix,2011,6,83,,,,,
19,The Queen's Gambit,Period Drama,Netflix,2020,1,96,,,,,
20,Ugly Delicious,Cooking Travel,Netflix,2018,2,100,,,,,
21,Single's Inferno,Reality TV Dating,Netflix,2021,3,82,,,,,
22,Peaky Blinders,Period Drama,Netflix,2013,6,93,,,,,
23,High Score,Documentary,Netflix,2020,1,78,,,,,
24,The Last Dance,Documentary,Netflix,2020,1,97,,,,,
25,Wednesday,Black Comedy,Netflix,2022,1,73,,,,,
26,House of Cards,Political Drama,Netflix,2013,6,77,,,,,
27,Narcos,Crime Drama,Netflix,2015,3,89,,,,,
28,Orange is the New Black,Drama,Netflix,2013,7,90,,,,,
29,Love is Blind,Reality TV Dating,Netflix,2020,6,57,,,,,
30,Love,Romance,Netflix,2016,3,94,,,,,
31,Stranger Things,Horror,Netflix,2016,4,92,,,,,
32,Breaking Bad,Drama,Netflix,2008,5,96,,,,,
33,Better Call Saul,Drama,Netflix,2015,6,98,,,,,
34,Avatar: The Last Airbender,Action,Netflix,2005,3,100,,,,,
35,Bridgerton,Romance,Netflix,2020,3,82,,,,,
36,Broad City,Sitcom,Hulu,2014,5,99,,,,,
37,The Bear,Drama,Hulu,2022,2,99,,,,,
38,Wu-Tang: An American Saga,Drama,Hulu,2019,3,84,,,,,
39,Mr. Robot,Drama,Amazon,2015,4,94,,,,,
40,Halt and Catch Fire,Drama,Pluto TV,2014,4,90,,,,,
41,The IT Crowd,Sitcom,Pluto TV,2006,4,85,,,,,
42,Nathan For You,Reality,Pluto TV,2013,6,97,,,,,
43,Mad Men,Drama,AMC+,2007,7,94,,,,,
44,Walking Dead,Drama,AMC+,2010,11,79,,,,,
45,The Mandalorian,Action,Disney+,2019,3,90,,,,,
46,Jujutsu Kaisen,Anime,Crunchyroll,2020,2,92,,,,,
47,One Piece,Anime,Crunchyroll,1999,21,94,,,,,
48,My Hero Academia,Anime,Crunchyroll,2016,7,100,,,,,
49,Naruto Shippuden,Anime,Crunchyroll,2007,21,93,,,,,
50,Bleach,Anime,Crunchyroll,2004,16,71,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Ś
